Input Size,Insertion Time (ms)
2500,0.655
5000,1.3626
7500,3.5377
10000,2.7424
12500,3.0391
15000,4.1847
17500,12.6265
20000,4.804
22500,3.5372
25000,4.437
27500,8.6014
30000,4.9593
32500,6.4387
35000,5.7022
37500,5.9975
40000,11.9481
42500,6.864
45000,7.4851
47500,9.0975
50000,7.9504
52500,10.6618
55000,10.8762
57500,17.6535
60000,10.6838
62500,9.731
65000,11.1702
67500,10.4421
70000,11.5505
72500,11.8903
75000,12.028
77500,13.3474
80000,25.7411
82500,14.257
85000,13.623
87500,14.6361
90000,16.8225
92500,15.4101
95000,15.0602
97500,15.7204
100000,17.0339
