Input Size,Insertion Time (ms)
10,0.036
20,0.0298
30,0.0334
40,0.0726
50,0.0585
60,0.0595
70,0.109
80,0.0961
90,0.1025
100,0.1097
110,0.1172
120,0.124
130,0.133
140,0.2287
150,0.1856
160,0.215
170,0.1967
180,0.2017
190,0.2119
200,0.217
210,0.5703
220,0.2352
230,0.2379
240,0.3475
250,0.2541
260,0.2664
270,0.3066
280,0.4395
290,0.3575
300,0.3688
310,0.3689
320,0.3967
330,0.3851
340,0.4162
350,0.3948
360,0.4061
370,0.412
380,0.4255
390,0.4391
400,0.4334
410,0.4523
420,0.4502
430,0.4517
440,0.4619
450,0.4704
460,0.4836
470,0.5294
480,0.4975
490,1.343
500,0.5088
510,0.5971
520,0.5271
530,0.5443
540,0.9928
550,1.5471
560,1.0354
570,0.716
580,0.7225
590,0.7375
600,0.8293
610,0.7641
620,0.777
630,0.7715
640,0.7862
650,0.8235
660,1.0621
670,1.7239
680,0.9081
690,1.203
700,1.1666
710,1.4268
720,0.845
730,0.8429
740,0.8303
750,0.8341
760,0.8559
770,0.8631
780,0.8911
790,1.5479
800,0.8659
810,1.5564
820,1.1462
830,1.1013
840,1.2585
850,0.9276
860,0.9615
870,1.2069
880,1.1097
890,1.0657
900,0.9448
910,1.011
920,1.3115
930,1.289
940,1.1431
950,1.0054
960,0.997
970,1.0023
980,1.6847
990,1.5076
1000,1.0277
1010,1.0356
1020,1.5416
1030,1.0873
1040,1.0601
1050,1.0673
1060,1.0745
1070,1.1118
1080,1.1336
1090,1.1307
1100,1.1079
1110,1.1503
1120,1.7676
1130,1.4572
1140,1.7888
1150,1.8221
1160,3.182
1170,1.4586
1180,1.8613
1190,1.4794
1200,1.4615
1210,1.486
1220,1.7797
1230,1.4999
1240,1.8368
1250,2.8542
1260,1.6087
1270,1.6614
1280,1.592
1290,1.6225
1300,1.6316
1310,1.71
1320,1.7649
1330,1.6825
1340,1.6287
1350,1.7007
1360,1.7419
1370,1.6302
1380,2.9244
1390,1.6571
1400,1.625
1410,1.6903
1420,1.7074
1430,1.7522
1440,1.6901
1450,1.7022
1460,1.6561
1470,2.137
1480,3.088
1490,1.71
1500,2.703
1510,1.8383
1520,1.8011
1530,1.9193
1540,1.7623
1550,1.9038
1560,2.2368
1570,1.9237
1580,1.8614
1590,3.3033
1600,2.3227
1610,1.8224
1620,1.922
1630,1.7784
1640,1.8276
1650,1.9469
1660,2.3601
1670,2.8412
1680,2.3487
1690,2.8497
1700,1.9283
1710,1.8768
1720,1.8852
1730,1.8575
1740,1.9152
1750,2.4675
1760,1.9815
1770,4.4244
1780,1.9773
1790,1.9831
1800,1.9531
1810,1.9506
1820,1.9609
1830,2.0046
1840,2.3541
1850,2.4007
1860,1.9629
1870,3.0063
1880,2.191
1890,2.1064
1900,2.2316
1910,2.1347
1920,3.0336
1930,2.2851
1940,2.5931
1950,3.3746
1960,2.1287
1970,2.1537
1980,2.0365
1990,2.0922
2000,2.2098
2010,2.0974
2020,2.8948
2030,2.7799
2040,2.2522
2050,2.1325
2060,2.1632
2070,2.2554
2080,2.189
2090,2.759
2100,2.5646
2110,2.2544
2120,2.9695
2130,2.1589
2140,2.869
2150,2.3309
2160,2.3445
2170,2.3056
2180,2.2244
2190,2.5361
2200,2.4382
2210,2.4451
2220,2.5717
2230,2.4089
2240,2.4099
2250,4.218
2260,3.3171
2270,3.0295
2280,2.9916
2290,2.96
2300,2.9743
2310,3.4909
2320,3.4047
2330,3.2889
2340,2.9164
2350,3.0375
2360,2.9581
2370,3.9392
2380,3.8352
2390,3.2825
2400,3.1883
2410,3.2371
2420,3.2044
2430,4.9417
2440,5.8383
2450,3.3219
2460,3.1808
2470,7.0448
2480,4.9127
2490,3.5774
2500,3.8895
2510,3.8588
2520,3.8931
2530,4.6158
2540,3.2489
2550,3.3079
2560,4.2239
2570,3.5247
2580,3.665
2590,3.162
2600,3.1516
2610,4.0479
2620,3.3786
2630,3.2295
2640,3.2457
2650,3.1513
2660,3.8671
2670,3.3651
2680,3.6744
2690,3.8899
2700,3.2273
2710,3.8567
2720,3.3923
2730,4.0474
2740,4.3007
2750,3.3679
2760,3.3271
2770,3.2698
2780,3.321
2790,3.8393
2800,3.3791
2810,3.2721
2820,3.3522
2830,3.424
2840,3.8363
2850,3.461
2860,3.8542
2870,3.3544
2880,3.398
2890,4.226
2900,3.9095
2910,3.9704
2920,3.5891
2930,3.5925
2940,4.337
2950,4.1368
2960,3.4876
2970,3.4653
2980,3.4313
2990,3.4901
3000,4.0121
3010,3.6543
3020,3.9709
3030,3.4462
3040,3.5913
3050,4.0888
3060,4.0426
3070,3.5711
3080,4.1659
3090,4.3609
3100,3.9672
3110,3.7954
3120,3.5096
3130,3.6629
3140,4.6487
3150,3.5521
3160,3.5703
3170,3.589
3180,3.8279
3190,3.6988
3200,4.1698
3210,3.6345
3220,3.6835
3230,4.2638
3240,3.9184
3250,4.8143
3260,3.7984
3270,3.8069
3280,3.9047
3290,4.1881
3300,3.6063
3310,3.6731
3320,3.7376
3330,3.7197
3340,4.1873
3350,4.5644
3360,3.6708
3370,3.7215
3380,4.3883
3390,3.8965
3400,4.3419
3410,3.8191
3420,3.7131
3430,3.8908
3440,4.0676
3450,4.1614
3460,3.9386
3470,3.8338
3480,3.8313
3490,4.436
3500,4.5916
3510,4.407
3520,3.8352
3530,4.4769
3540,4.9826
3550,3.8776
3560,3.9233
3570,3.8864
3580,4.3144
3590,4.1118
3600,4.1828
3610,3.9282
3620,3.9465
3630,4.4038
3640,4.4956
3650,4.0041
3660,4.0161
3670,3.9842
3680,4.4498
3690,4.5613
3700,4.6401
3710,4.0035
3720,3.9906
3730,4.1101
3740,4.6815
3750,4.3524
3760,4.2371
3770,4.7274
3780,4.3155
3790,4.6167
3800,4.0619
3810,4.2037
3820,4.0677
3830,4.4443
3840,4.3201
3850,5.0915
3860,4.1541
3870,4.7654
3880,4.4453
3890,4.547
3900,4.1947
3910,4.3032
3920,4.3445
3930,5.1177
3940,4.288
3950,4.2362
3960,4.2231
3970,5.1241
3980,4.9465
3990,4.2798
4000,4.2355
4010,5.6009
4020,5.3963
4030,4.684
4040,4.7827
4050,5.172
4060,5.1074
4070,4.9047
4080,4.6873
4090,4.9365
4100,6.4938
4110,4.9013
4120,4.502
4130,6.3891
4140,5.1478
4150,4.6127
4160,5.0061
4170,5.3276
4180,5.0579
4190,4.549
4200,4.7855
4210,4.6405
4220,5.3323
4230,4.794
4240,4.6976
4250,5.4523
4260,4.8442
4270,4.5746
4280,4.6119
4290,5.3326
4300,4.8978
4310,4.6786
4320,4.6408
4330,4.7578
4340,5.8855
4350,4.7015
4360,4.5996
4370,6.3348
4380,4.7185
4390,4.717
4400,5.9015
4410,5.4599
4420,4.7214
4430,5.5167
4440,4.9041
4450,4.8452
4460,4.8128
4470,4.8201
4480,4.9848
4490,5.1085
4500,7.6089
4510,8.0149
4520,5.997
4530,6.7244
4540,6.8443
4550,6.0302
4560,6.8867
4570,6.9113
4580,6.4836
4590,6.3166
4600,7.0122
4610,6.0758
4620,6.2518
4630,7.4817
4640,6.1234
4650,6.4794
4660,7.2973
4670,6.7024
4680,7.1293
4690,6.6173
4700,6.9178
4710,6.3961
4720,6.268
4730,6.9928
4740,6.5653
4750,6.1342
4760,7.0384
4770,6.8057
4780,6.2053
4790,7.7348
4800,6.563
4810,6.4669
4820,7.4489
4830,6.193
4840,6.6574
4850,7.2219
4860,6.4313
4870,6.4146
4880,7.1007
4890,6.3006
4900,6.2065
4910,7.7008
4920,6.9738
4930,7.484
4940,7.4122
4950,6.2756
4960,6.238
4970,8.1146
4980,7.0038
4990,7.0362
5000,7.3235
5010,7.0015
5020,7.4887
5030,7.1463
5040,7.1102
5050,7.2533
5060,7.6272
5070,6.3223
5080,6.8522
5090,7.1028
5100,6.3536
5110,6.8278
5120,6.7193
5130,6.3847
5140,6.3576
5150,7.1826
5160,6.4516
5170,6.7795
5180,7.8675
5190,6.9749
5200,7.1157
5210,6.9944
5220,6.4895
5230,6.9065
5240,7.3529
5250,6.4059
5260,6.4584
5270,7.3009
5280,6.5321
5290,7.059
5300,8.1546
5310,6.7498
5320,7.5614
5330,6.9406
5340,7.7229
5350,7.4454
5360,6.9801
5370,6.5968
5380,7.0132
5390,8.0125
5400,6.7161
5410,6.9649
5420,6.5259
5430,6.652
5440,6.9636
5450,7.6586
5460,6.8203
5470,7.2346
5480,7.0419
5490,6.7169
5500,7.1805
5510,6.8461
5520,7.4484
5530,7.2822
5540,7.0305
5550,8.8325
5560,6.7284
5570,6.7718
5580,7.9241
5590,7.7489
5600,7.5098
5610,8.9585
5620,8.4563
5630,7.3377
5640,6.8878
5650,7.0343
5660,6.8491
5670,7.5333
5680,7.1704
5690,6.751
5700,7.3412
5710,8.0419
5720,7.738
5730,7.2189
5740,6.8585
5750,7.0488
5760,8.0788
5770,6.9595
5780,7.1264
5790,8.7123
5800,6.9533
5810,7.5288
5820,6.8522
5830,6.9894
5840,7.7752
5850,6.9122
5860,6.8674
5870,8.6041
5880,6.9829
5890,9.5676
5900,7.2412
5910,7.0238
5920,8.4369
5930,7.1561
5940,7.1375
5950,8.5526
5960,7.094
5970,8.2575
5980,7.9178
5990,7.1062
6000,8.4343
6010,7.1491
6020,8.678
6030,8.3806
6040,7.8097
6050,7.7724
6060,7.2046
6070,10.0616
6080,7.152
6090,7.1553
6100,8.4142
6110,7.5932
6120,8.4955
6130,7.7104
6140,7.214
6150,8.447
6160,7.2656
6170,7.3491
6180,8.7911
6190,7.2998
6200,10.1764
6210,8.4654
6220,9.7093
6230,7.9976
6240,9.0087
6250,8.0046
6260,8.5372
6270,8.5899
6280,7.8087
6290,9.8415
6300,8.093
6310,9.4213
6320,7.8222
6330,8.6591
6340,9.2907
6350,7.3679
6360,9.3961
6370,7.4112
6380,11.0459
6390,9.1401
6400,7.8906
6410,7.5281
6420,8.4246
6430,7.3654
6440,7.5792
6450,9.6089
6460,7.5072
6470,8.7292
6480,8.2288
6490,7.6634
6500,9.1429
6510,7.5783
6520,7.6603
6530,9.0914
6540,8.1903
6550,9.3124
6560,7.4577
6570,10.0306
6580,7.5248
6590,7.9524
6600,8.4071
6610,7.6508
6620,8.9198
6630,8.8845
6640,7.9901
6650,9.1933
6660,8.3086
6670,9.9931
6680,8.5947
6690,11.041
6700,9.8716
6710,9.4656
6720,8.7537
6730,8.6586
6740,9.0881
6750,8.0507
6760,9.0992
6770,7.6563
6780,8.4421
6790,8.674
6800,8.1102
6810,8.6808
6820,8.0789
6830,8.5632
6840,9.7628
6850,10.5456
6860,7.8618
6870,8.0521
6880,8.9415
6890,7.7162
6900,8.3566
6910,8.2935
6920,8.0979
6930,8.5065
6940,8.3128
6950,7.8973
6960,7.9684
6970,7.9564
6980,8.7509
6990,7.873
7000,9.0338
7010,9.01
7020,8.4118
7030,8.1889
7040,7.8598
7050,8.4442
7060,8.0148
7070,8.062
7080,8.7893
7090,7.9061
7100,8.1283
7110,8.4372
7120,8.5118
7130,9.0104
7140,8.4378
7150,8.6643
7160,8.4269
7170,8.7285
7180,7.9834
7190,8.4037
7200,9.068
7210,8.5307
7220,8.999
7230,8.6062
7240,8.6154
7250,7.9556
7260,8.5715
7270,8.6058
7280,8.1517
7290,8.8401
7300,8.086
7310,8.4835
7320,8.7123
7330,8.5639
7340,8.8981
7350,8.8029
7360,9.0536
7370,8.9327
7380,8.1851
7390,8.9217
7400,8.6395
7410,9.2089
7420,8.312
7430,9.5148
7440,8.3099
7450,8.3548
7460,8.8529
7470,8.2248
7480,9.3035
7490,8.2232
7500,9.1222
7510,8.2527
7520,8.8558
7530,8.3045
7540,8.3985
7550,8.7907
7560,8.2602
7570,9.6626
7580,8.2839
7590,10.141
7600,8.2362
7610,8.8745
7620,8.2568
7630,8.727
7640,8.3
7650,8.4693
7660,9.6837
7670,8.309
7680,10.2381
7690,9.5256
7700,9.3002
7710,9.1033
7720,8.8781
7730,9.1221
7740,8.7335
7750,10.1408
7760,8.7796
7770,10.7802
7780,8.6917
7790,10.1645
7800,8.9683
7810,9.5643
7820,9.8659
7830,9.6397
7840,9.7812
7850,9.4685
7860,9.0136
7870,10.7016
7880,9.7765
7890,9.3351
7900,9.063
7910,10.1683
7920,9.1238
7930,10.4879
7940,8.9133
7950,10.7375
7960,9.0383
7970,10.3327
7980,9.3415
7990,11.6043
8000,11.2215
8010,13.3891
8020,9.771
8030,10.2331
8040,7.6199
8050,3.0416
8060,2.6703
8070,2.7971
8080,2.617
8090,2.9199
8100,2.6134
8110,2.9727
8120,2.9654
8130,3.4432
8140,2.6698
8150,2.743
8160,2.7025
8170,2.7493
8180,2.934
8190,3.0528
8200,2.737
8210,2.7461
8220,2.7468
8230,2.7891
8240,2.9161
8250,2.9482
8260,2.9193
8270,2.7592
8280,3.1239
8290,2.8896
8300,3.0093
8310,2.8391
8320,3.1495
8330,3.1721
8340,3.0928
8350,2.9103
8360,2.8676
8370,2.8621
8380,2.8462
8390,3.8312
8400,2.733
8410,3.0096
8420,2.8589
8430,2.8868
8440,2.9279
8450,3.1032
8460,2.9416
8470,2.9669
8480,2.7672
8490,2.7465
8500,2.7904
8510,2.7089
8520,2.9277
8530,2.7343
8540,3.0268
8550,3.0273
8560,2.7888
8570,2.6851
8580,2.7352
8590,2.7013
8600,3.0783
8610,2.7982
8620,2.8243
8630,2.7369
8640,2.8155
8650,2.8688
8660,3.0527
8670,2.8491
8680,2.9139
8690,2.9756
8700,2.8472
8710,2.9744
8720,2.8367
8730,2.9078
8740,2.8121
8750,2.9961
8760,2.7808
8770,2.8137
8780,2.7665
8790,2.8325
8800,2.7802
8810,2.8414
8820,2.9148
8830,2.7776
8840,2.7744
8850,2.7664
8860,2.815
8870,3.0758
8880,3.077
8890,2.9133
8900,2.8586
8910,2.8314
8920,2.8829
8930,2.8304
8940,3.0499
8950,2.9448
8960,3.0465
8970,2.8517
8980,2.9864
8990,2.872
9000,4.5706
9010,3.7407
9020,3.6352
9030,3.6635
9040,3.5112
9050,3.5745
9060,3.6632
9070,3.7705
9080,3.8445
9090,3.6537
9100,3.5349
9110,3.6355
9120,3.5631
9130,3.9888
9140,3.7207
9150,3.5685
9160,3.6383
9170,3.7739
9180,3.7207
9190,4.2224
9200,3.666
9210,3.7587
9220,3.6124
9230,3.68
9240,3.6225
9250,3.6547
9260,3.7136
9270,4.0042
9280,3.9923
9290,3.8419
9300,3.6533
9310,3.7173
9320,3.6904
9330,3.8375
9340,3.7127
9350,3.7396
9360,3.6727
9370,3.8684
9380,3.7117
9390,3.7434
9400,3.8485
9410,3.9679
9420,3.6828
9430,3.9005
9440,4.0439
9450,3.6693
9460,3.6302
9470,3.5953
9480,4.0818
9490,4.0398
9500,3.6033
9510,3.7501
9520,3.7744
9530,3.6907
9540,3.7621
9550,3.7164
9560,3.9107
9570,3.6769
9580,3.6274
9590,3.7296
9600,4.1132
9610,3.6704
9620,3.5899
9630,3.6956
9640,4.161
9650,3.9515
9660,3.6313
9670,3.7817
9680,3.8213
9690,3.693
9700,3.7651
9710,3.8431
9720,3.9851
9730,3.6718
9740,3.6623
9750,4.0665
9760,3.7629
9770,3.6595
9780,3.7877
9790,3.867
9800,3.8936
9810,4.1112
9820,3.7218
9830,3.7793
9840,3.7855
9850,3.6223
9860,3.8963
9870,3.7757
9880,3.7357
9890,3.7916
9900,3.7628
9910,3.8541
9920,3.7798
9930,3.8252
9940,3.953
9950,3.7247
9960,3.6943
9970,4.1054
9980,3.7222
9990,3.688
10000,3.7019
15000,1629.51
20000,4607.21
25000,5077.79
30000,4521.03
35000,6031.98
40000,9261.91
45000,7304.25
50000,10075.4
