Input Size,Insertion Time (s)
5000,0.0082547
10000,0.0119083
15000,0.0155323
20000,0.02185
25000,0.0261114
30000,0.0314377
35000,0.0339603
40000,0.0389632
45000,0.0453953
50000,0.0529532
55000,0.0547255
60000,0.0598483
65000,0.0635076
70000,0.0730156
75000,0.0722062
80000,0.0770737
85000,0.0845973
90000,0.0907063
95000,0.0993373
100000,0.104363
105000,0.101125
110000,0.114771
115000,0.111032
120000,0.117208
125000,0.137468
130000,0.136794
135000,0.125222
140000,0.134715
145000,0.143795
150000,0.16237
155000,0.142805
160000,0.146723
165000,0.161865
170000,0.181136
175000,0.170293
180000,0.166252
185000,0.17879
190000,0.175034
195000,0.19505
200000,0.186837
205000,0.199471
210000,0.207162
215000,0.194767
220000,0.211463
225000,0.228198
230000,0.227748
235000,0.231819
240000,0.232266
245000,0.252882
250000,0.252483
255000,0.250437
260000,0.250289
265000,0.309118
270000,0.270222
275000,0.281126
280000,0.27884
285000,0.275887
290000,0.279386
295000,0.288557
300000,0.297419
305000,0.297148
310000,0.286117
315000,0.309927
320000,0.312902
325000,0.30702
330000,0.318142
335000,0.33689
340000,0.347676
345000,0.361396
350000,0.344034
355000,0.366215
360000,0.343762
365000,0.359117
370000,0.349466
375000,0.362201
380000,0.379999
385000,0.367827
390000,0.373313
395000,0.504073
400000,0.396462
405000,0.392293
410000,0.395513
415000,0.399863
420000,0.401808
425000,0.41532
430000,0.406763
435000,0.424208
440000,0.410867
445000,0.423228
450000,0.453061
455000,0.480505
460000,0.455244
465000,0.452642
470000,0.463428
475000,0.468041
480000,0.479776
485000,0.467201
490000,0.502775
495000,0.493638
500000,0.474119
505000,0.518889
510000,0.5082
515000,0.510397
520000,0.516845
525000,0.506714
530000,0.507082
535000,0.553484
540000,0.540368
545000,0.527504
550000,0.527014
555000,0.550023
560000,0.57206
565000,0.573217
570000,0.583201
575000,0.55839
580000,0.647978
585000,0.583012
590000,0.596682
595000,0.621737
600000,0.626663
605000,0.620407
610000,0.648397
615000,0.590883
620000,0.617831
625000,0.604215
630000,0.629242
635000,0.621984
640000,0.65737
645000,0.656908
650000,0.653747
655000,0.653029
660000,0.675259
665000,0.808137
670000,0.722194
675000,0.668511
680000,0.673118
685000,0.702558
690000,0.671882
695000,0.730639
700000,0.766378
705000,0.699461
710000,0.737227
715000,1.50542
720000,1.43047
725000,1.23438
730000,1.10233
735000,1.36178
740000,1.14354
745000,1.17956
750000,1.95503
755000,1.34825
760000,1.33158
765000,1.00524
770000,0.911187
775000,1.04556
780000,0.950013
785000,0.954034
790000,1.13412
795000,0.966715
800000,1.07337
805000,1.17174
810000,0.917485
815000,1.09778
820000,1.06395
825000,0.943492
830000,1.05181
835000,1.25402
840000,1.05563
845000,1.11309
850000,0.957611
855000,1.70738
860000,1.95515
865000,1.44299
870000,0.985019
875000,1.02796
880000,1.10383
885000,1.06452
890000,1.20081
895000,1.11123
900000,1.4977
905000,2.23203
910000,1.57918
915000,1.19487
920000,1.17563
925000,1.22799
930000,1.17308
935000,1.62528
940000,1.3909
945000,1.4787
950000,1.60158
955000,1.54468
960000,1.48601
965000,1.27697
970000,1.33081
975000,1.53037
980000,1.6886
985000,1.64296
990000,1.36062
995000,1.63868
