Input Size,Insertion Time (s)
5000,0.0018236
10000,0.0034158
15000,0.0078726
20000,0.0067435
25000,0.01298
30000,0.0145243
35000,0.0162808
40000,0.0151879
45000,0.0200078
50000,0.0215911
55000,0.0251425
60000,0.0317724
65000,0.0363697
70000,0.039611
75000,0.0416801
80000,0.0359766
85000,0.0455652
90000,0.0553261
95000,0.0516113
100000,0.0498532
105000,0.0369064
110000,0.0435601
115000,0.051334
120000,0.0492844
125000,0.0684363
130000,0.068082
135000,0.0528284
140000,0.057199
145000,0.0609381
150000,0.085598
155000,0.0675005
160000,0.0628008
165000,0.0649484
170000,0.0507557
175000,0.0554167
180000,0.0583794
185000,0.0628184
190000,0.044821
195000,0.0563506
200000,0.0694005
205000,0.0679296
210000,0.0599718
215000,0.0616041
220000,0.0633961
225000,0.0658789
230000,0.0662419
235000,0.070007
240000,0.0735719
245000,0.0777589
250000,0.0708505
255000,0.0936691
260000,0.0732808
265000,0.123916
270000,0.0788601
275000,0.109035
280000,0.107341
285000,0.123363
290000,0.105973
295000,0.102103
300000,0.0864649
305000,0.105991
310000,0.100637
315000,0.099923
320000,0.0976682
325000,0.102156
330000,0.0924314
335000,0.104016
340000,0.10651
345000,0.109704
350000,0.103422
355000,0.130767
360000,0.103944
365000,0.131229
370000,0.121023
375000,0.135991
380000,0.140399
385000,0.141749
390000,0.122378
395000,0.125782
400000,0.143039
405000,0.115454
410000,0.118389
415000,0.121993
420000,0.121379
425000,0.111435
430000,0.13188
435000,0.126658
440000,0.113299
445000,0.136051
450000,0.149092
455000,0.155413
460000,0.140387
465000,0.132605
470000,0.1364
475000,0.145513
480000,0.150412
485000,0.154907
490000,0.156738
495000,0.15005
500000,0.17187
505000,0.160878
510000,0.15815
515000,0.147401
520000,0.14604
525000,0.154054
530000,0.149175
535000,0.155164
540000,0.147511
545000,0.159044
550000,0.149645
555000,0.148233
560000,0.166547
565000,0.149413
570000,0.189226
575000,0.195538
580000,0.208831
585000,0.260419
590000,0.27989
595000,0.203441
600000,0.188615
605000,0.193749
610000,0.193765
615000,0.203894
620000,0.18912
625000,0.18637
630000,0.184321
635000,0.192058
640000,0.182465
645000,0.180403
650000,0.196841
655000,0.175029
660000,0.186084
665000,0.189398
670000,0.197137
675000,0.194526
680000,0.172488
685000,0.174231
690000,0.181691
695000,0.192575
700000,0.171092
705000,0.197513
710000,0.194748
715000,0.177788
720000,0.195519
725000,0.206169
730000,0.202222
735000,0.191347
740000,0.200645
745000,0.187899
750000,0.190586
755000,0.218744
760000,0.207495
765000,0.20206
770000,0.237334
775000,0.200067
780000,0.218795
785000,0.210467
790000,0.200107
795000,0.209098
800000,0.250746
805000,0.207682
810000,0.208755
815000,0.228278
820000,0.231303
825000,0.213379
830000,0.213876
835000,0.237485
840000,0.212628
845000,0.203625
850000,0.268669
855000,0.264736
860000,0.300803
865000,0.295881
870000,0.28232
875000,0.303526
880000,0.291137
885000,0.273729
890000,0.316974
895000,0.30265
900000,0.244233
905000,0.253848
910000,0.275748
915000,0.238709
920000,0.347823
925000,0.307081
930000,0.360808
935000,0.294402
940000,0.276341
945000,0.298463
950000,0.286589
955000,0.277007
960000,0.276674
965000,0.306405
970000,0.317229
975000,0.321601
980000,0.263582
985000,0.309214
990000,0.300965
995000,0.315824
