Input Size,Insertion Time (s)
5000,0.0017915
10000,0.0036181
15000,0.0052844
20000,0.0071586
25000,0.0086529
30000,0.009442
35000,0.0100538
40000,0.0124978
45000,0.013768
50000,0.0154926
55000,0.0180881
60000,0.0196924
65000,0.0221113
70000,0.0240531
75000,0.0245695
80000,0.0297292
85000,0.0310946
90000,0.027877
95000,0.0308954
100000,0.0375619
105000,0.0467072
110000,0.0361596
115000,0.0383389
120000,0.043057
125000,0.0416459
130000,0.0415424
135000,0.0462333
140000,0.0431019
145000,0.0466249
150000,0.0498414
155000,0.0533127
160000,0.0622618
165000,0.0528913
170000,0.0553971
175000,0.0552105
180000,0.0536722
185000,0.0584627
190000,0.0628796
195000,0.0646135
200000,0.0632907
205000,0.0634401
210000,0.0633851
215000,0.0741014
220000,0.0642782
225000,0.0684734
230000,0.0668857
235000,0.0707027
240000,0.0861287
245000,0.0791763
250000,0.0710769
255000,0.0735766
260000,0.0772843
265000,0.081671
270000,0.081898
275000,0.0762136
280000,0.0777722
285000,0.0877163
290000,0.0818132
295000,0.0794903
300000,0.0824715
305000,0.0869895
310000,0.0848978
315000,0.0868219
320000,0.0946184
325000,0.0941556
330000,0.108479
335000,0.109466
340000,0.109757
345000,0.107216
350000,0.12507
355000,0.124563
360000,0.114686
365000,0.123361
370000,0.11974
375000,0.126523
380000,0.11806
385000,0.115963
390000,0.123456
395000,0.126945
400000,0.16919
405000,0.127849
410000,0.227569
415000,0.21885
420000,0.144821
425000,0.161526
430000,0.149347
435000,0.158079
440000,0.183823
445000,0.142845
450000,0.142232
455000,0.13819
460000,0.144251
465000,0.137346
470000,0.139046
475000,0.127239
480000,0.131541
485000,0.146961
490000,0.162984
495000,0.147883
500000,0.163131
505000,0.169538
510000,0.165298
515000,0.139048
520000,0.138196
525000,0.175859
530000,0.166286
535000,0.161192
540000,0.1591
545000,0.150411
550000,0.165815
555000,0.156761
560000,0.154707
565000,0.158095
570000,0.211814
575000,0.238515
580000,0.259806
585000,0.197676
590000,0.208587
595000,0.204036
600000,0.227346
605000,0.223835
610000,0.228942
615000,0.230309
620000,0.225145
625000,0.225302
630000,0.230351
635000,0.187943
640000,0.18009
645000,0.176136
650000,0.216715
655000,0.19765
660000,0.194993
665000,0.244484
670000,0.276968
675000,0.261166
680000,0.291158
685000,0.301213
690000,0.340837
695000,0.29627
700000,0.258097
705000,0.341066
710000,0.28183
715000,0.225537
720000,0.23663
725000,0.236298
730000,0.20194
735000,0.219513
740000,0.242532
745000,0.283694
750000,0.274342
755000,0.289565
760000,0.291545
765000,0.303727
770000,0.297598
775000,0.281256
780000,0.252394
785000,0.26154
790000,0.22676
795000,0.239261
800000,0.27241
805000,0.264887
810000,0.283707
815000,0.277125
820000,0.284224
825000,0.264972
830000,0.258736
835000,0.283386
840000,0.278716
845000,0.283127
850000,0.279903
855000,0.276579
860000,0.269164
865000,0.247587
870000,0.327389
875000,0.335394
880000,0.270026
885000,0.33085
890000,0.338489
895000,0.33959
900000,0.303232
905000,0.328836
910000,0.303926
915000,0.3514
920000,0.364825
925000,0.290214
930000,0.323371
935000,0.455917
940000,0.334574
945000,0.413258
950000,0.38718
955000,0.308707
960000,0.309952
965000,0.3187
970000,0.339357
975000,0.322284
980000,0.32346
985000,0.356669
990000,0.473268
995000,0.39189
